j1, j2, j3, j4, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
1.00000, 0.00000, -1.00000, -1.00000, -0.86603, 0.86603, -0.86603, 0.86603, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.90000, -0.86603, 0.86603, -0.77942, 0.77942, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.80000, -0.86603, 0.86603, -0.69282, 0.69282, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.70000, -0.86603, 0.86603, -0.60622, 0.60622, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.60000, -0.86603, 0.86603, -0.51962, 0.51962, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.50000, -0.86603, 0.86603, -0.43301, 0.43301, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.40000, -0.86603, 0.86603, -0.34641, 0.34641, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.30000, -0.86603, 0.86603, -0.25981, 0.25981, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.20000, -0.86603, 0.86603, -0.17321, 0.17321, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.10000, -0.86603, 0.86603, -0.08660, 0.08660, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, -0.00000, -0.86603, 0.86603, -0.00000, 0.00000, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.10000, -0.86603, 0.86603, 0.08660, -0.08660, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.20000, -0.86603, 0.86603, 0.17321, -0.17321, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.30000, -0.86603, 0.86603, 0.25981, -0.25981, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.40000, -0.86603, 0.86603, 0.34641, -0.34641, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.50000, -0.86603, 0.86603, 0.43301, -0.43301, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.60000, -0.86603, 0.86603, 0.51962, -0.51962, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.70000, -0.86603, 0.86603, 0.60622, -0.60622, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.80000, -0.86603, 0.86603, 0.69282, -0.69282, 0.25882, -0.96593
1.00000, 0.00000, -1.00000, 0.90000, -0.86603, 0.86603, 0.77942, -0.77942, 0.25882, -0.96593
1.00000, 0.00000, -0.90000, -1.00000, -0.79810, 0.84810, -0.89103, 0.84103, 0.24412, -0.96975
