j1,j3,j2,j4,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
1.0,0.0,-1.0,-1.0,0.5,0.5,-1.20711,0.20711,0.70711,0.70711,0.6454889968478545,7.263646493362402e-75,7.263646493362402e-75,1.0,3.8124642530136186e-62,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.9,0.5,0.45,-1.18255,0.23255,-0.71949,-0.6945,0.6406791772001701,8.468021409559402e-74,1.2567658087409647e-71,1.0,3.4913056068160493e-62,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.8,0.5,0.4,-1.15887,0.25887,-0.73162,-0.68171,0.6353506680562799,9.040475644530403e-73,1.9912972755303213e-68,1.0,2.681230324889818e-62,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.7,0.5,0.35,-1.13607,0.28607,-0.74346,-0.66878,0.6295306600545547,8.838584112670495e-72,2.889348501237584e-65,1.0,1.7268099825416493e-62,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.6,0.5,0.3,-1.11414,0.31414,-0.75499,-0.65573,0.6232467635652267,7.921191231843755e-71,3.843086291875793e-62,1.0,9.345181460330559e-63,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.5,0.5,0.25,-1.09307,0.34307,-0.76618,-0.64262,0.6165134468946767,6.514018257003293e-70,4.69041228877416e-59,1.0,4.258260989988237e-63,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.4,0.5,0.2,-1.07284,0.37284,-0.77702,-0.62948,0.6093513144286961,4.925232179650747e-69,5.263336849594404e-56,1.0,1.6402699937557192e-63,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.3,0.5,0.15,-1.05344,0.40344,-0.78748,-0.61634,0.6018266870122747,3.4273464210758976e-68,5.435817529564665e-53,1.0,5.3518695668895555e-64,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.2,0.5,0.1,-1.03485,0.43485,-0.79755,-0.60326,0.5939506869803736,2.1994365866774814e-67,5.177149678461834e-50,1.0,1.4850463020777599e-64,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.1,0.5,0.05,-1.01704,0.46704,-0.80722,-0.59025,0.5857891026439234,1.3055392027300383e-66,4.560806038434414e-47,1.0,3.525530934409894e-65,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.0,0.5,0.0,-1.0,0.5,-0.8165,-0.57735,0.5773429868062513,7.17509597316441e-66,3.7200759760208356e-44,1.0,7.17509597316441e-66,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
