j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
-1.0,0.0,-1.0,-1.0,-1.0,-0.0,-0.36603,1.36603,-0.86603,0.5,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.2268774216280834,0.4773404063906581,0.016665395687763308,0.010293294092731308,0.0,0.0,0.26882348220076396,0.0
-1.0,0.0,-1.0,-0.9,-1.0,-0.0,-0.27942,1.27942,-0.86603,0.5,1.1102230246251565e-16,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.23374160906225783,0.49639471016865094,0.01711265494872823,0.010732407416757869,0.0,0.0,0.24201861840360506,0.0
-1.0,0.0,-1.0,-0.8,-1.0,-0.0,-0.19282,1.19282,-0.86603,0.5,0.0,0.0,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,0.24059435316549324,0.5155746727137661,0.01751339637579712,0.011125850136615085,0.0,0.0,0.2151917276083287,0.0
-1.0,0.0,-1.0,-0.7,-1.0,-0.0,-0.10622,1.10622,-0.86603,0.5,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,-2.7755575615628914e-17,0.24743567985646397,0.5348808809501531,0.01786747192483038,0.011473476904492609,0.0,0.0,0.18834249036405995,0.0
-1.0,0.0,-1.0,-0.6,-1.0,-0.0,-0.01962,1.01962,-0.86603,0.5,1.1102230246251565e-16,0.0,0.0,-2.7755575615628914e-17,0.0,0.2542648289100764,0.554311669946651,0.018174702563983926,0.011775111949254931,0.0,0.0,0.16147368663003364,0.0
-1.0,0.0,-1.0,-0.5,-1.0,-0.0,0.06699,0.93301,-0.86603,0.5,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.2610818336553102,0.5738675805929376,0.018434960097749874,0.012030629410220116,0.0,0.0,0.13458499624378226,0.0
-1.0,0.0,-1.0,-0.4,-1.0,-0.0,0.15359,0.84641,-0.86603,0.5,0.0,0.0,0.0,0.0,0.0,0.26788437433334505,0.5935423138702319,0.018648052551660025,0.012239840809352667,0.0,0.0,0.10768541843541045,0.0
-1.0,0.0,-1.0,-0.3,-1.0,-0.0,0.24019,0.75981,-0.86603,0.5,1.1102230246251565e-16,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.2746725010175932,0.6133362789861135,0.018813904623360713,0.012402672215781374,0.0,0.0,0.08077464315715108,0.0
-1.0,0.0,-1.0,-0.2,-1.0,-0.0,0.32679,0.67321,-0.86603,0.5,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.28144548388037427,0.6332475759305355,0.018932432146585035,0.012519040996160294,0.0,0.0,0.05385546704634513,0.0
-1.0,0.0,-1.0,-0.1,-1.0,-0.0,0.4134,0.5866,-0.86603,0.5,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.28820338059025785,0.653276565847998,0.019003580418683667,0.012588893444139961,0.0,0.0,0.02692757969892067,0.0
