j1,j4,j2,j3,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
-1.0,0.0,-1.0,-1.0,-0.75,-0.75,0.75,0.75,-0.0,1.0,0.3329648879458692,0.49944733191880375,0.49972361068153814,0.0,0.0,-9.079150559484966e-20,0.0008290573996580148,-0.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.9,-0.775,-0.675,0.725,0.725,-0.86603,-0.5,-1.6653345369377348e-16,-2.220446049250313e-16,-5.551115123125783e-17,-7.031051088568496e-17,-1.919037845299343e-17,0.414461950205794,0.0,0.41446074299264396,0.1697093031371724,0.0,0.0,0.0006879795433615739,0.0006879795433615742
-1.0,0.0,-1.0,-0.8,-0.8,-0.6,0.7,0.7,-0.86603,-0.5,-1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,-7.535205098774256e-17,-4.4072818311535755e-17,0.48671434061242286,0.0,0.48671199774801727,0.024965790136104768,0.0,0.0,0.0008079129854415369,0.0008079129854415365
-1.0,0.0,-1.0,-0.7,-0.825,-0.525,0.675,0.675,-0.86603,-0.5,0.10537867918332938,0.26960171868592664,0.0,-5.561957144850638e-17,-3.550762114890027e-17,0.36452537437008586,0.0,0.3645235578310989,0.0,0.0013551565474301797,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.6,-0.85,-0.45,0.65,0.65,-0.86603,-0.5,0.20410820594340803,0.5221921886543168,1.3877787807814457e-17,-3.642919299551295e-17,-2.336455681706262e-17,0.23817644807426427,0.0,0.2381753112183933,0.0,0.0014598480843948949,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.5,-0.875,-0.375,0.625,0.625,-0.86603,-0.5,0.27178814629796844,0.6953451298522841,0.0,-2.3093506273941244e-17,-1.485356976305141e-17,0.15156317161904181,0.0,0.15156250069179686,0.0,0.0015316150340594832,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.4,-0.9,-0.3,0.6,0.6,-0.86603,-0.5,0.31617978687327736,0.8089170847025636,0.0,-1.441988889405721e-17,-9.324138683375338e-18,0.09475305303283352,0.0,0.09475268771070569,0.0,0.001578687366245457,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.3,-0.925,-0.225,0.575,0.575,-0.86603,-0.5,0.34445934055056615,0.8812677379291425,0.0,-8.890457814381136e-18,-5.7462715141731735e-18,0.058562347369537686,0.0,0.05856217673217938,0.0,0.0016086746460016552,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.2,-0.95,-0.15,0.55,0.55,-0.86603,-0.5,0.3621412835947102,0.92650537301199,0.0,-5.5294310796760726e-18,-3.686287386450715e-18,0.0359339139943781,0.0,0.03593386508471909,0.0,0.001627424353961996,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.1,-0.975,-0.075,0.525,0.525,-0.86603,-0.5,0.3730681697991172,0.9544608126077797,0.0,-3.3610267347050637e-18,-2.2768245622195593e-18,0.021950251912836487,0.0,0.02195027822707763,0.0,0.0016390110853939982,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,-1.0,-0.0,0.5,0.5,-0.86603,-0.5,0.3797717951491028,0.9716114253293383,-8.673617379884035e-19,-2.0599841277224584e-18,-1.5178830414797062e-18,0.013371299971555584,0.0,0.013371372435526357,0.0,0.0016461195246234408,0.0,0.0,0.0
