j1,j4,j2,j3,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
1.0,0.0,-1.0,-1.0,-1.25,0.75,0.25,0.25,-0.0,1.0,0.6666666666666666,1.0,1.3838965267367376e-87,7.175095973164411e-66,7.175095973164411e-66,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.9,-1.20096,0.75096,0.225,0.225,0.02219,0.99975,0.6665832968808585,1.0,1.6950850295388813e-85,1.1785392709103389e-62,1.1785392709103389e-62,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.8,-1.15394,0.75394,0.2,0.2,0.04544,0.99897,0.666322714884509,1.0,1.3861951871275664e-83,1.5817320592666314e-59,1.5817320592666314e-59,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.7,-1.10908,0.75908,0.175,0.175,0.06971,0.99757,0.6658532275143525,1.0,7.359394243723658e-82,1.7104649047162247e-56,1.7104649047162247e-56,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.6,-1.06652,0.76652,0.15,0.15,0.09492,0.99548,0.6651481167987624,1.0,2.466518000168336e-80,1.469628912850419e-53,1.469628912850419e-53,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.5,-1.02639,0.77639,0.125,0.125,0.12098,0.99265,0.6641853017616678,1.0,5.084630420524174e-79,9.903019817479267e-51,9.903019817479267e-51,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.4,-0.98882,0.78882,0.1,0.1,0.14778,0.98902,0.6629368328008263,1.0,6.281678699113817e-78,5.1659264833865326e-48,5.1659264833865326e-48,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.3,-0.95392,0.80392,0.075,0.075,0.17514,0.98454,0.6613752823642564,1.0,4.549658433304213e-77,2.063346511273977e-45,2.063346511273977e-45,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.2,-0.92178,0.82178,0.05,0.05,0.2029,0.9792,0.6594842915272897,1.0,1.8973668708709334e-76,6.253610636256894e-43,6.253610636256894e-43,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.1,-0.89247,0.84247,0.025,0.025,0.23086,0.97299,0.6572450358180554,1.0,4.492759349950277e-76,1.428184018001496e-40,1.428184018001496e-40,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,-0.0,-0.86603,0.86603,0.0,0.0,0.25882,0.96593,0.6546474109465201,1.0,5.992250598664876e-76,2.447907391766461e-38,2.447907391766461e-38,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.1,-0.84247,0.89247,-0.025,-0.025,-0.28656,-0.95806,0.6516875698234187,1.0,4.492759349950278e-76,3.145784642119957e-36,3.145784642119957e-36,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.2,-0.82178,0.92178,-0.05,-0.05,-0.31388,-0.94946,0.6483769439290146,1.0,1.897366870870933e-76,3.034034226356319e-34,3.034034226356319e-34,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.3,-0.80392,0.95392,-0.075,-0.075,-0.3406,-0.94021,0.6447286505714575,1.0,4.549658433304214e-77,2.204990004560653e-32,2.204990004560653e-32,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.4,-0.78882,0.98882,-0.1,-0.1,-0.36653,-0.93041,0.6407662559130011,1.0,6.281678699113818e-78,1.2159829837523845e-30,1.2159829837523845e-30,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.5,-0.77639,1.02639,-0.125,-0.125,-0.39155,-0.92016,0.6365168805403857,1.0,5.084630420524173e-79,5.13442415973921e-29,5.13442415973921e-29,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.6,-0.76652,1.06652,-0.15,-0.15,-0.41554,-0.90958,0.6320201899532798,1.0,2.466518000168336e-80,1.678327078761945e-27,1.678327078761945e-27,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.7,-0.75908,1.10908,-0.175,-0.175,-0.43842,-0.89877,0.627312056440959,1.0,7.359394243723658e-82,4.30256956657326e-26,4.30256956657326e-26,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.8,-0.75394,1.15394,-0.2,-0.2,-0.46013,-0.88785,0.6224416540913243,1.0,1.3861951871275662e-83,8.763780053685416e-25,8.763780053685416e-25,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-1.0,0.9,-0.75096,1.20096,-0.225,-0.225,-0.48066,-0.87691,0.6174493803255396,1.0,1.6950850295388813e-85,1.4382932087019442e-23,1.4382932087019442e-23,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.9,-1.0,-1.20096,0.75096,0.225,0.225,-0.02219,0.99975,0.6665832968808585,1.0,1.6950850295388813e-85,1.1785392709103389e-62,1.1785392709103389e-62,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.9,-0.9,-1.15,0.75,0.2,0.2,-0.0,1.0,0.6666666666666666,1.0,3.0482349509719e-83,2.3455513385429475e-59,2.3455513385429475e-59,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.9,-0.8,-1.10101,0.75101,0.175,0.175,0.02339,0.99973,0.6665766241490465,1.0,3.6965225727560936e-81,3.8334501021460507e-56,3.8334501021460507e-56,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.9,-0.7,-1.05416,0.75416,0.15,0.15,0.04795,0.99885,0.6662825624449187,1.0,2.9218656881006043e-79,5.05819615525205e-53,5.05819615525205e-53,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1.0,0.0,-0.9,-0.6,-1.00959,0.75959,0.125,0.125,0.07363,0.99729,0.6657590567258311,1.0,1.4638239572687225e-77,5.313520711381474e-50,5.313520711381474e-50,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
