j1,j3,j2,j4,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
1.0,0.0,-1.0,-1.0,0.5,0.5,-1.20711,0.20711,0.70711,0.70711,0.6441407467142323,0.00019611854660434564,-2.710505431213761e-20,0.9979112732514324,0.0,0.0,0.0008482525502700304,0.001109644290429024,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.9,0.5,0.45,-1.18255,0.23255,-0.71949,-0.6945,0.6392727161870619,0.00022171855482447532,-5.421010862427522e-20,0.9978047343145215,0.0,0.0,0.0008444241507156797,0.0011996861861154294,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.8,0.5,0.4,-1.15887,0.25887,-0.73162,-0.68171,0.6338719138572608,0.0002495514767643281,5.421010862427522e-20,0.9976725385312916,2.168404344971009e-19,0.0,0.0008332315394780738,0.001322464390313678,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.7,0.5,0.35,-1.13607,0.28607,-0.74346,-0.66878,0.6279558862812294,0.0002796314751867238,-1.0842021724855044e-19,0.9974984955090372,1.0842021724855044e-18,0.0,0.0008149461490090621,0.0014948588607888325,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.6,0.5,0.3,-1.11414,0.31414,-0.75499,-0.65573,0.6215389834172256,0.00031195489768383864,1.0842021724855044e-19,0.9972598651965205,0.0,0.0,0.0007900927563105705,0.001740453716357308,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.5,0.5,0.25,-1.09307,0.34307,-0.76618,-0.64262,0.614617922853684,0.00034648608520626513,2.168404344971009e-19,0.9969254133051919,4.336808689942018e-19,0.0,0.0007593667911473334,0.0020917671871621413,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.4,0.5,0.2,-1.07284,0.37284,-0.77702,-0.62948,0.6071895248674273,0.00038317143670652876,2.168404344971009e-19,0.9964523100056072,0.0,0.0,0.0007236353861484238,0.0025934462902331723,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.3,0.5,0.15,-1.05344,0.40344,-0.78748,-0.61634,0.5992886367702066,0.00042190104296958077,0.0,0.9957827555725917,1.734723475976807e-18,0.0,0.0006837350831094504,0.0033060834511162963,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.2,0.5,0.1,-1.03485,0.43485,-0.79755,-0.60326,0.5908849778970054,0.00046253831666318045,-4.336808689942018e-19,0.9948384450922113,-8.673617379884035e-19,0.0,0.0006406530395502216,0.004312023022359374,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.1,0.5,0.05,-1.01704,0.46704,-0.80722,-0.59025,0.5819895324614371,0.0005049211494207659,0.0,0.9935137574848403,3.2526065174565133e-19,0.0,0.0005953809591989663,0.005722560658287061,0.0,0.0,0.0,0.0,-0.0,0.0
