j1,j4,j2,j3,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
1.0,0.0,-1.0,-1.0,-1.25,0.75,0.25,0.25,-0.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,-8.326672684688674e-17,0.0,2.7755575615628914e-17,0.29488480959328234,0.6166891683277107,0.0,0.0,0.06253811424618445,0.025887907832822396,0.0,-0.0
1.0,0.0,-1.0,-0.9,-1.20096,0.75096,0.225,0.225,0.02219,0.99975,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.29079760105669966,0.615800262886946,0.0,0.0,0.06450472270967542,0.028897413346678676,0.0,-0.0
1.0,0.0,-1.0,-0.8,-1.15394,0.75394,0.2,0.2,0.04544,0.99897,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.0,5.551115123125783e-17,0.28674473697756003,0.6145121626910841,0.0,0.0,0.06669394800005192,0.03204915233130366,0.0,-0.0
1.0,0.0,-1.0,-0.7,-1.10908,0.75908,0.175,0.175,0.06971,0.99757,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.28272653731891256,0.6128017812403204,0.0,0.0,0.06911925328317842,0.035352428157588725,0.0,-0.0
1.0,0.0,-1.0,-0.6,-1.06652,0.76652,0.15,0.15,0.09492,0.99548,-1.1102230246251565e-16,0.0,8.326672684688674e-17,0.0,2.7755575615628914e-17,0.27874333599382545,0.6106466839820025,0.0,0.0,0.07179371341414724,0.03881626661002465,0.0,-0.0
1.0,0.0,-1.0,-0.5,-1.02639,0.77639,0.125,0.125,0.12098,0.99265,0.0,-1.1102230246251565e-16,-2.7755575615628914e-17,-2.7755575615628914e-17,2.7755575615628914e-17,0.27479539382654616,0.6080269699292348,0.0,0.0,0.07472893918464316,0.04244869705957593,0.0,-0.0
1.0,0.0,-1.0,-0.4,-0.98882,0.78882,0.1,0.1,0.14778,0.98902,-1.1102230246251565e-16,-1.6653345369377348e-16,-1.3877787807814457e-16,0.0,2.7755575615628914e-17,0.2708830888277028,0.6049235345019846,0.0,0.0,0.0779360316547861,0.04625734501552688,0.0,-0.0
1.0,0.0,-1.0,-0.3,-0.95392,0.80392,0.075,0.075,0.17514,0.98454,1.1102230246251565e-16,0.0,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.267006704069832,0.6013217243713926,0.0,0.0,0.08142350782987738,0.05024806372889799,0.0,-0.0
1.0,0.0,-1.0,-0.2,-0.92178,0.82178,0.05,0.05,0.2029,0.9792,0.0,5.551115123125783e-17,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.2631664887930887,0.5972113468805612,0.0,0.0,0.08519727353373094,0.05442489079261898,0.0,-0.0
1.0,0.0,-1.0,-0.1,-0.89247,0.84247,0.025,0.025,0.23086,0.97299,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.25936270939621703,0.5925866589871409,0.0,0.0,0.08926061189758537,0.05879001971905669,0.0,-0.0
1.0,0.0,-1.0,-0.0,-0.86603,0.86603,0.0,0.0,0.25882,0.96593,0.0,0.0,-5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,0.2555955606318547,0.5874480950112843,0.0,0.0,0.09361319871613913,0.06334314564072176,0.0,-0.0
1.0,0.0,-1.0,0.1,-0.84247,0.89247,-0.025,-0.025,-0.28656,-0.95806,1.1102230246251565e-16,1.1102230246251565e-16,-8.326672684688674e-17,-2.7755575615628914e-17,0.0,0.25186519221726755,0.5818021609689877,0.0,0.0,0.09825115518493975,0.06808149162880489,0.0,-0.0
1.0,0.0,-1.0,0.2,-0.82178,0.92178,-0.05,-0.05,-0.31388,-0.94946,-2.220446049250313e-16,-3.3306690738754696e-16,-1.3877787807814457e-16,0.0,5.551115123125783e-17,0.24817184597775446,0.5756595543768985,0.0,0.0,0.10316810511562516,0.07300049452972227,0.0,-0.0
1.0,0.0,-1.0,0.3,-0.80392,0.95392,-0.075,-0.075,-0.3406,-0.94021,-2.220446049250313e-16,-2.7755575615628914e-16,-2.7755575615628914e-17,0.0,5.551115123125783e-17,0.2445157191837196,0.5690367749372542,0.0,0.0,0.10835427603857781,0.0780932298404486,0.0,-0.0
1.0,0.0,-1.0,0.4,-0.78882,0.98882,-0.1,-0.1,-0.36653,-0.93041,-1.1102230246251565e-16,-1.1102230246251565e-16,5.551115123125783e-17,0.0,5.551115123125783e-17,0.24089693836224385,0.5619559228491908,0.0,0.0,0.11379662705909271,0.0833505117294724,0.0,-0.0
1.0,0.0,-1.0,0.5,-0.77639,1.02639,-0.125,-0.125,-0.39155,-0.92016,-1.1102230246251565e-16,-1.6653345369377348e-16,-5.551115123125783e-17,0.0,5.551115123125783e-17,0.23731564858453916,0.5544427619183493,0.0,0.0,0.11947995631866264,0.088761633178449,0.0,-0.0
1.0,0.0,-1.0,0.6,-0.76652,1.06652,-0.15,-0.15,-0.41554,-0.90958,-1.1102230246251565e-16,-1.6653345369377348e-16,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.2337719629068552,0.5465265235986572,0.0,0.0,0.12538703409067256,0.09431447940381506,0.0,-0.0
1.0,0.0,-1.0,0.7,-0.75908,1.10908,-0.175,-0.175,-0.43842,-0.89877,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.0,5.551115123125783e-17,0.23026590162204114,0.5382396933308586,0.0,0.0,0.13149874988620555,0.09999565516089454,0.0,-0.0
1.0,0.0,-1.0,0.8,-0.75394,1.15394,-0.2,-0.2,-0.46013,-0.88785,-1.1102230246251565e-16,-2.7755575615628914e-16,-2.7755575615628914e-17,-5.551115123125783e-17,0.0,0.22679760504048302,0.5296144623520596,0.0,0.0,0.13779612382674575,0.1057918087807121,0.0,-0.0
1.0,0.0,-1.0,0.9,-0.75096,1.20096,-0.225,-0.225,-0.48066,-0.87691,0.0,1.1102230246251565e-16,8.326672684688674e-17,0.0,5.551115123125783e-17,0.2233671434765989,0.5206842848983882,0.0,0.0,0.14425945804456772,0.11168911358044481,0.0,-0.0
1.0,0.0,-0.9,-1.0,-1.20096,0.75096,0.225,0.225,-0.02219,0.99975,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.29079760105669966,0.615800262886946,0.0,0.0,0.06450472270967542,0.028897413346678676,0.0,-0.0
