j1,j4,j2,j3,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
-1.0,0.0,-1.0,-1.0,-0.75,0.25,-0.45711,0.95711,-0.70711,-0.70711,0.12043361799183797,0.8076634803922221,0.0,0.18657733684068495,8.131516293641283e-20,0.0,0.00015859596543291602,0.0059506265450009,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.9,-0.725,0.225,-0.45755,0.95755,-0.6945,-0.71949,0.1340788428375122,0.786509506524227,0.0,0.20633661368292233,4.87890977618477e-19,0.0,0.0001746189547701922,0.00741546319704804,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.8,-0.7,0.2,-0.45887,0.95887,-0.68171,-0.73162,0.14920469048178697,0.7628601915661937,0.0,0.2282838816598524,-1.8973538018496328e-19,0.0,0.0001906570771542824,0.009206847573452616,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.7,-0.675,0.175,-0.46107,0.96107,-0.66878,-0.74346,0.1658744361611511,0.7365544222672157,0.0,0.25252656965410325,-2.439454888092385e-19,0.0,0.00020631164496850648,0.011382239724076869,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.6,-0.65,0.15,-0.46414,0.96414,-0.65573,-0.75499,0.18411273913795256,0.7074846652321709,0.0,0.27911503206704796,-5.421010862427522e-18,0.0,0.0002211326984166859,0.014002864242759,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.5,-0.625,0.125,-0.46807,0.96807,-0.64262,-0.76618,0.20388661508013486,0.6756097545995267,0.0,0.3080321616865752,-2.358139725155972e-18,0.0,0.0002346307868856623,0.017131164874235404,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.4,-0.6,0.1,-0.47284,0.97284,-0.62948,-0.77702,0.22509887486116648,0.6409872847232523,0.0,0.3391639692820945,6.179952383167375e-18,0.0,0.0002463048631777463,0.02082759639809645,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.3,-0.575,0.075,-0.47844,0.97844,-0.61634,-0.78748,0.24759756984480627,0.6037732835640308,0.0,0.37230461391633046,8.185726402265558e-18,0.0,0.00025563580481140045,0.025145620746524648,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.2,-0.55,0.05,-0.48485,0.98485,-0.60326,-0.79755,0.27112750774182703,0.5642585004355521,0.0,0.40712437012127983,5.854691731421724e-18,0.0,0.0002621787150264297,0.03012713995669465,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.1,-0.525,0.025,-0.49204,0.99204,-0.59025,-0.80722,0.2953691719318708,0.5228760701092426,0.0,0.44316642974127285,1.2468324983583301e-17,0.0,0.00026557544073884266,0.035797669546428164,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.0,-0.5,0.0,-0.5,1.0,-0.57735,-0.8165,0.31992767146859075,0.480160239153208,0.0,0.47989467002976594,-5.204170427930421e-18,0.0,0.0002655705236552884,0.04215949328715958,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.1,-0.475,-0.025,-0.5087,1.0087,-0.5646,-0.82537,0.3443601044526336,0.43677134256814637,0.0,0.5166691285983273,-9.540979117872439e-18,0.0,0.0002620863135265058,0.0491910375767444,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.2,-0.45,-0.05,-0.51811,1.01811,-0.55201,-0.83384,0.36819626086604207,0.3934367663692326,0.0,0.552806917561289,1.0950441942103595e-17,0.0,0.00025522099687476103,0.05684491578472384,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.3,-0.425,-0.075,-0.52822,1.02822,-0.53962,-0.84191,0.3909835424203298,0.35088294344247534,-6.938893903907228e-18,0.5876523272355814,-5.421010862427522e-19,0.0,0.00024520881284155265,0.06504574168336123,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.4,-0.4,-0.1,-0.53899,1.03899,-0.52744,-0.84959,0.4122928092714575,0.30983835138616644,0.0,0.6205623835663847,-2.0383000842727483e-17,0.0,0.00023249113959015308,0.07370219536104292,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.5,-0.375,-0.125,-0.55039,1.05039,-0.5155,-0.85689,0.431763274377927,0.270939151168793,0.0,0.6510002645095707,-9.893344823930228e-18,0.0,0.0002176090844098639,0.08270816152346586,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.6,-0.35,-0.15,-0.5624,1.0624,-0.5038,-0.86382,0.44914809533371935,0.23469297168623923,0.0,0.6785660160682462,1.826880660638075e-17,0.0,0.00020114637318711568,0.09194860724673516,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.7,-0.325,-0.175,-0.575,1.075,-0.49237,-0.87039,0.46428551679965,0.2014658091323802,0.0,0.7030010550365308,-1.927169361592984e-17,0.0,0.000183714318319828,0.10130876307794658,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.8,-0.3,-0.2,-0.58815,1.08815,-0.4812,-0.87661,0.47712126973118973,0.171486561433741,0.0,0.7241697398549435,-6.532318089225164e-18,0.0,0.00016592049297372126,0.1106888888394337,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.9,-0.275,-0.225,-0.60184,1.10184,-0.47031,-0.8825,0.4876850214227536,0.1448188027155031,0.0,0.742099659238643,-1.6019087098473328e-17,0.0,0.00014827020959146573,0.11999159636588153,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-1.0,-0.75,0.25,-0.3864,0.8864,-0.70711,-0.70711,0.0894626327666594,0.855162996625858,0.0,0.1385966812812245,8.131516293641283e-20,0.0,0.00023914175021111806,0.006376258740621206,0.0,0.0,0.0,0.0,-0.0,0.0
