j1, j4, j2, j3, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
-1.00000, 0.00000, -1.00000, -1.00000, -0.75000, -0.75000, 0.75000, 0.75000, -0.00000, 1.00000
-1.00000, 0.00000, -1.00000, -0.90000, -0.77500, -0.67500, 0.72500, 0.72500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.80000, -0.80000, -0.60000, 0.70000, 0.70000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.70000, -0.82500, -0.52500, 0.67500, 0.67500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.60000, -0.85000, -0.45000, 0.65000, 0.65000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.50000, -0.87500, -0.37500, 0.62500, 0.62500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.40000, -0.90000, -0.30000, 0.60000, 0.60000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.30000, -0.92500, -0.22500, 0.57500, 0.57500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.20000, -0.95000, -0.15000, 0.55000, 0.55000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.10000, -0.97500, -0.07500, 0.52500, 0.52500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, -0.00000, -1.00000, -0.00000, 0.50000, 0.50000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.10000, -1.02500, 0.07500, 0.47500, 0.47500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.20000, -1.05000, 0.15000, 0.45000, 0.45000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.30000, -1.07500, 0.22500, 0.42500, 0.42500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.40000, -1.10000, 0.30000, 0.40000, 0.40000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.50000, -1.12500, 0.37500, 0.37500, 0.37500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.60000, -1.15000, 0.45000, 0.35000, 0.35000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.70000, -1.17500, 0.52500, 0.32500, 0.32500, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.80000, -1.20000, 0.60000, 0.30000, 0.30000, -0.86603, -0.50000
-1.00000, 0.00000, -1.00000, 0.90000, -1.22500, 0.67500, 0.27500, 0.27500, -0.86603, -0.50000
-1.00000, 0.00000, -0.90000, -1.00000, -0.77500, -0.67500, 0.72500, 0.72500, -0.86603, 0.50000
-1.00000, 0.00000, -0.90000, -0.90000, -0.75000, -0.65000, 0.70000, 0.70000, -1.00000, 0.00000
-1.00000, 0.00000, -0.90000, -0.80000, -0.76160, -0.58840, 0.67500, 0.67500, -0.96593, -0.25882
-1.00000, 0.00000, -0.90000, -0.70000, -0.78229, -0.51771, 0.65000, 0.65000, -0.93700, -0.34934
-1.00000, 0.00000, -0.90000, -0.60000, -0.80528, -0.44472, 0.62500, 0.62500, -0.92016, -0.39155
-1.00000, 0.00000, -0.90000, -0.50000, -0.82913, -0.37087, 0.60000, 0.60000, -0.90958, -0.41554
-1.00000, 0.00000, -0.90000, -0.40000, -0.85339, -0.29661, 0.57500, 0.57500, -0.90239, -0.43092
-1.00000, 0.00000, -0.90000, -0.30000, -0.87787, -0.22213, 0.55000, 0.55000, -0.89722, -0.44159
-1.00000, 0.00000, -0.90000, -0.20000, -0.90249, -0.14751, 0.52500, 0.52500, -0.89332, -0.44942
-1.00000, 0.00000, -0.90000, -0.10000, -0.92720, -0.07280, 0.50000, 0.50000, -0.89028, -0.45541
-1.00000, 0.00000, -0.90000, -0.00000, -0.95197, 0.00197, 0.47500, 0.47500, -0.88785, -0.46013
-1.00000, 0.00000, -0.90000, 0.10000, -0.97678, 0.07678, 0.45000, 0.45000, -0.88586, -0.46395
-1.00000, 0.00000, -0.90000, 0.20000, -1.00163, 0.15163, 0.42500, 0.42500, -0.88420, -0.46711
-1.00000, 0.00000, -0.90000, 0.30000, -1.02650, 0.22650, 0.40000, 0.40000, -0.88280, -0.46975
-1.00000, 0.00000, -0.90000, 0.40000, -1.05139, 0.30139, 0.37500, 0.37500, -0.88159, -0.47201
-1.00000, 0.00000, -0.90000, 0.50000, -1.07629, 0.37629, 0.35000, 0.35000, -0.88055, -0.47395
-1.00000, 0.00000, -0.90000, 0.60000, -1.10121, 0.45121, 0.32500, 0.32500, -0.87964, -0.47564
-1.00000, 0.00000, -0.90000, 0.70000, -1.12614, 0.52614, 0.30000, 0.30000, -0.87884, -0.47712
-1.00000, 0.00000, -0.90000, 0.80000, -1.15107, 0.60107, 0.27500, 0.27500, -0.87812, -0.47844
-1.00000, 0.00000, -0.90000, 0.90000, -1.17601, 0.67601, 0.25000, 0.25000, -0.87748, -0.47961
-1.00000, 0.00000, -0.80000, -1.00000, -0.80000, -0.60000, 0.70000, 0.70000, -0.86603, 0.50000
-1.00000, 0.00000, -0.80000, -0.90000, -0.76160, -0.58840, 0.67500, 0.67500, -0.96593, 0.25882
-1.00000, 0.00000, -0.80000, -0.80000, -0.75000, -0.55000, 0.65000, 0.65000, -1.00000, 0.00000
-1.00000, 0.00000, -0.80000, -0.70000, -0.75729, -0.49271, 0.62500, 0.62500, -0.98613, -0.16597
-1.00000, 0.00000, -0.80000, -0.60000, -0.77321, -0.42679, 0.60000, 0.60000, -0.96593, -0.25882
-1.00000, 0.00000, -0.80000, -0.50000, -0.79294, -0.35706, 0.57500, 0.57500, -0.94946, -0.31388
-1.00000, 0.00000, -0.80000, -0.40000, -0.81458, -0.28542, 0.55000, 0.55000, -0.93700, -0.34934
-1.00000, 0.00000, -0.80000, -0.30000, -0.83725, -0.21275, 0.52500, 0.52500, -0.92752, -0.37378
-1.00000, 0.00000, -0.80000, -0.20000, -0.86056, -0.13944, 0.50000, 0.50000, -0.92016, -0.39155
-1.00000, 0.00000, -0.80000, -0.10000, -0.88427, -0.06573, 0.47500, 0.47500, -0.91431, -0.40501
-1.00000, 0.00000, -0.80000, -0.00000, -0.90826, 0.00826, 0.45000, 0.45000, -0.90958, -0.41554
-1.00000, 0.00000, -0.80000, 0.10000, -0.93244, 0.08244, 0.42500, 0.42500, -0.90567, -0.42399
-1.00000, 0.00000, -0.80000, 0.20000, -0.95678, 0.15678, 0.40000, 0.40000, -0.90239, -0.43092
-1.00000, 0.00000, -0.80000, 0.30000, -0.98122, 0.23122, 0.37500, 0.37500, -0.89961, -0.43670
-1.00000, 0.00000, -0.80000, 0.40000, -1.00574, 0.30574, 0.35000, 0.35000, -0.89722, -0.44159
-1.00000, 0.00000, -0.80000, 0.50000, -1.03034, 0.38034, 0.32500, 0.32500, -0.89514, -0.44579
-1.00000, 0.00000, -0.80000, 0.60000, -1.05498, 0.45498, 0.30000, 0.30000, -0.89332, -0.44942
-1.00000, 0.00000, -0.80000, 0.70000, -1.07967, 0.52967, 0.27500, 0.27500, -0.89171, -0.45260
-1.00000, 0.00000, -0.80000, 0.80000, -1.10440, 0.60440, 0.25000, 0.25000, -0.89028, -0.45541
-1.00000, 0.00000, -0.80000, 0.90000, -1.12916, 0.67916, 0.22500, 0.22500, -0.88900, -0.45790
-1.00000, 0.00000, -0.70000, -1.00000, -0.82500, -0.52500, 0.67500, 0.67500, -0.86603, 0.50000
-1.00000, 0.00000, -0.70000, -0.90000, -0.78229, -0.51771, 0.65000, 0.65000, -0.93700, 0.34934
-1.00000, 0.00000, -0.70000, -0.80000, -0.75729, -0.49271, 0.62500, 0.62500, -0.98613, 0.16597
-1.00000, 0.00000, -0.70000, -0.70000, -0.75000, -0.45000, 0.60000, 0.60000, -1.00000, 0.00000
-1.00000, 0.00000, -0.70000, -0.60000, -0.75528, -0.39472, 0.57500, 0.57500, -0.99265, -0.12098
-1.00000, 0.00000, -0.70000, -0.50000, -0.76794, -0.33206, 0.55000, 0.55000, -0.97920, -0.20290
-1.00000, 0.00000, -0.70000, -0.40000, -0.78481, -0.26519, 0.52500, 0.52500, -0.96593, -0.25882
-1.00000, 0.00000, -0.70000, -0.30000, -0.80414, -0.19586, 0.50000, 0.50000, -0.95446, -0.29833
-1.00000, 0.00000, -0.70000, -0.20000, -0.82500, -0.12500, 0.47500, 0.47500, -0.94491, -0.32733
-1.00000, 0.00000, -0.70000, -0.10000, -0.84686, -0.05314, 0.45000, 0.45000, -0.93700, -0.34934
-1.00000, 0.00000, -0.70000, -0.00000, -0.86941, 0.01941, 0.42500, 0.42500, -0.93041, -0.36653
-1.00000, 0.00000, -0.70000, 0.10000, -0.89244, 0.09244, 0.40000, 0.40000, -0.92486, -0.38030
-1.00000, 0.00000, -0.70000, 0.20000, -0.91583, 0.16583, 0.37500, 0.37500, -0.92016, -0.39155
-1.00000, 0.00000, -0.70000, 0.30000, -0.93949, 0.23949, 0.35000, 0.35000, -0.91612, -0.40090
-1.00000, 0.00000, -0.70000, 0.40000, -0.96336, 0.31336, 0.32500, 0.32500, -0.91263, -0.40880
-1.00000, 0.00000, -0.70000, 0.50000, -0.98739, 0.38739, 0.30000, 0.30000, -0.90958, -0.41554
-1.00000, 0.00000, -0.70000, 0.60000, -1.01155, 0.46155, 0.27500, 0.27500, -0.90689, -0.42137
-1.00000, 0.00000, -0.70000, 0.70000, -1.03581, 0.53581, 0.25000, 0.25000, -0.90451, -0.42645
-1.00000, 0.00000, -0.70000, 0.80000, -1.06016, 0.61016, 0.22500, 0.22500, -0.90239, -0.43092
-1.00000, 0.00000, -0.70000, 0.90000, -1.08459, 0.68459, 0.20000, 0.20000, -0.90049, -0.43488
-1.00000, 0.00000, -0.60000, -1.00000, -0.85000, -0.45000, 0.65000, 0.65000, -0.86603, 0.50000
-1.00000, 0.00000, -0.60000, -0.90000, -0.80528, -0.44472, 0.62500, 0.62500, -0.92016, 0.39155
