j1,j4,j2,j3,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
-1.0,0.0,-1.0,-1.0,-0.75,0.25,-0.45711,0.95711,-0.70711,-0.70711,1.2298092722445502e-13,0.9999999999998095,3.7200759760201277e-44,1.9052366163484322e-13,7.263646493360916e-75,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.9,-0.725,0.225,-0.45755,0.95755,-0.6945,-0.71949,1.5760791937937562e-12,0.9999999999975745,5.521082277015142e-42,2.425459803062453e-12,8.468021409538864e-74,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.8,-0.7,0.2,-0.45887,0.95887,-0.68171,-0.73162,2.2037604535702614e-11,0.9999999999662824,8.194012623714233e-40,3.371763910135963e-11,9.040475644225581e-73,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.7,-0.675,0.175,-0.46107,0.96107,-0.66878,-0.74346,3.3620992422488513e-10,0.9999999994881554,1.2160992986303719e-37,5.118446266529697e-10,8.838584108146389e-72,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.6,-0.65,0.15,-0.46414,0.96414,-0.65573,-0.75499,5.591178640587428e-09,0.9999999915237696,1.8048513725470789e-35,8.47623044916428e-09,7.9211911647018e-71,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.5,-0.625,0.125,-0.46807,0.96807,-0.64262,-0.76618,1.0125332209721759e-07,0.9999998470263501,2.6786365520472054e-33,1.5297364994408527e-07,6.514017260530146e-70,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.4,-0.6,0.1,-0.47284,0.97284,-0.62948,-0.77702,1.992845723668921e-06,0.9999969973129975,3.975437798877396e-31,3.002687002426258e-06,4.925217390720097e-69,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.3,-0.575,0.075,-0.47844,0.97844,-0.61634,-0.78748,4.258656687411764e-05,0.9999359639299044,5.899712722985611e-29,6.403607009563281e-05,3.4271269472802595e-68,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.2,-0.55,0.05,-0.48485,0.98485,-0.60326,-0.79755,0.0009848615764634224,0.998521134383177,8.743561060006227e-27,0.0014788656168230805,2.1961839155330615e-67,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.1,-0.525,0.025,-0.49204,0.99204,-0.59025,-0.80722,0.0237997262236348,0.9642913319952673,1.2531751033567927e-24,0.03570866800473268,1.25892013677257e-66,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.0,-0.5,0.0,-0.5,1.0,-0.57735,-0.8165,0.33333113644369805,0.5,9.64374923981959e-23,0.5,3.5875479865822054e-66,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.1,-0.475,-0.025,-0.5087,1.0087,-0.5646,-0.82537,0.6443415788575637,0.03324630883947396,9.516817678767775e-22,0.966753691160526,1.2175061255539674e-66,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.2,-0.45,-0.05,-0.51811,1.01811,-0.55201,-0.83384,0.6653156715290189,0.0011003785913337096,4.674798070924329e-21,0.9988996214086664,1.9157328642299427e-67,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.3,-0.425,-0.075,-0.52822,1.02822,-0.53962,-0.84191,0.6653095050889491,3.290016448354134e-05,2.0743937849676922e-20,0.9999670998355165,2.538957142465393e-68,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.4,-0.4,-0.1,-0.53899,1.03899,-0.52744,-0.84959,0.6643851463149743,9.198999526830406e-07,8.60807692626181e-20,0.9999990801000472,2.945770747218515e-69,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.5,-0.375,-0.125,-0.55039,1.05039,-0.5155,-0.85689,0.6632304481653949,0.0,3.3538761703798917e-19,0.999999821218111,-2.977760461299632e-24,-2.414955160382613e-08,-7.2070672066906425e-09,1.800109456778006e-08,0.0,0.0,0.0,0.0,1.931964128306091e-07,0.0
-1.0,0.0,-1.0,0.6,-0.35,-0.15,-0.5624,1.0624,-0.5038,-0.86382,0.6619077329087563,0.0,1.2294066729622935e-18,0.9999999955269544,1.0692946817775957e-25,-5.964653287258513e-10,-2.0899861086163355e-10,5.384587367005084e-10,0.0,0.0,0.0,0.0,4.771722629806811e-09,0.0
-1.0,0.0,-1.0,0.7,-0.325,-0.175,-0.575,1.075,-0.49237,-0.87039,0.6604335988180269,0.0,4.2483542552326184e-18,0.9999999998944525,-2.806783984256264e-27,-1.3887943864771244e-11,-5.555039312507888e-12,1.4755481381086737e-11,0.0,0.0,0.0,0.0,1.1110355091816998e-10,0.0
-1.0,0.0,-1.0,0.8,-0.3,-0.2,-0.58815,1.08815,-0.4812,-0.87661,0.6588528123608637,0.0,1.3895036275696877e-17,0.9999999999976418,-2.216271564474452e-29,-3.060585412442358e-13,-1.3692554754454748e-13,3.748083216978312e-13,0.0,0.0,0.0,0.0,2.4484683299538868e-12,0.0
-1.0,0.0,-1.0,0.9,-0.275,-0.225,-0.60184,1.10184,-0.47031,-0.8825,0.6571691757992006,0.0,4.305729514000885e-17,0.9999999999999469,-3.1481646259140084e-15,-6.3902691941407314e-15,-0.0,1.2221195330145254e-14,0.0,0.0,0.0,0.0,5.1122153553125864e-14,0.0
-1.0,0.0,-0.9,-1.0,-0.75,0.25,-0.3864,0.8864,-0.70711,-0.70711,1.0445794592995764e-16,0.9999999999999998,3.7200759760208356e-44,1.618276166442214e-16,8.55167094117958e-72,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.9,-0.725,0.225,-0.38689,0.88689,-0.69309,-0.72085,1.3463242171310777e-15,0.9999999999999979,5.5210822770285216e-42,2.0704715741084854e-15,9.919887718937674e-71,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.8,-0.7,0.2,-0.38836,0.88836,-0.67885,-0.73428,1.9118828775188085e-14,0.9999999999999708,8.194012623990277e-40,2.9217749813190457e-14,1.0432818990035783e-69,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.7,-0.675,0.175,-0.3908,0.8908,-0.66444,-0.74734,2.9886147322493856e-13,0.9999999999995457,1.2160992992522733e-37,4.5430846011918773e-13,9.957951886731836e-69,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.6,-0.65,0.15,-0.3942,0.8942,-0.64991,-0.76001,5.137448452354191e-12,0.9999999999922241,1.804851387831381e-35,7.7758370848849e-12,8.634677160557512e-68,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.5,-0.625,0.125,-0.39856,0.89856,-0.63532,-0.77225,9.712156211532642e-11,0.9999999998535006,2.678636961415659e-33,1.4649936819446443e-10,6.801894868213236e-67,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.4,-0.6,0.1,-0.40383,0.90383,-0.62072,-0.78403,2.009244094260238e-09,0.9999999969769513,3.975449723890669e-31,3.0230487254877117e-09,4.892072973329509e-66,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.3,-0.575,0.075,-0.41002,0.91002,-0.60616,-0.79534,4.55356880813313e-08,0.9999999316073223,5.900090138074113e-29,6.839267775643796e-08,3.209229817852048e-65,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.2,-0.55,0.05,-0.41708,0.91708,-0.59169,-0.80617,1.1249276127425125e-06,0.999998312059967,8.756495982231454e-27,1.6879400329224019e-06,1.9298538288036178e-64,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.1,-0.525,0.025,-0.425,0.925,-0.57735,-0.8165,3.0265046333408494e-05,0.9999546021312975,1.2995224267806023e-24,4.539786870243439e-05,1.0648303170199046e-63,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.0,-0.5,0.0,-0.43374,0.93374,-0.56319,-0.82633,0.0008822028232387817,0.9986763001898583,1.9261967621563573e-22,0.001323699810141626,5.406145067069354e-63,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.1,-0.475,-0.025,-0.44327,0.94327,-0.54924,-0.83566,0.02676636130540396,0.9598054811185632,2.7474610234150374e-20,0.040194518881436804,2.440617611504321e-62,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.2,-0.45,-0.05,-0.45356,0.95356,-0.53554,-0.84451,0.39109167644138365,0.4119281968435014,1.7500169079346805e-18,0.5880718031564985,4.560213950084073e-62,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.3,-0.425,-0.075,-0.46458,0.96458,-0.52211,-0.85288,0.6514481725624683,0.018743258468625866,1.1817843311029994e-17,0.981256741531374,8.397547669063818e-63,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.4,-0.4,-0.1,-0.47629,0.97629,-0.50897,-0.86078,0.6621997771588087,0.0004859105382752658,4.54696761376612e-17,0.9995140894617246,8.223204072715983e-64,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.5,-0.375,-0.125,-0.48866,0.98866,-0.49615,-0.86824,0.6609307993613035,1.1582542126166577e-05,1.6085769486178246e-16,0.9999884174578737,6.931106454517259e-65,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.6,-0.35,-0.15,-0.50166,1.00166,-0.48366,-0.87526,0.6592073142398804,2.591133414711299e-07,5.340724023953784e-16,0.999999740886658,5.148039067083509e-66,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
