j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
1.0,0.0,-1.0,-1.0,-0.86603,0.86603,-0.86603,0.86603,0.25882,-0.96593,-1.1102230246251565e-16,0.0,0.0,-5.551115123125783e-17,0.0,0.17576004938556453,0.3566774619214417,0.0,0.0,0.10032425758707487,0.07027842864817647,0.2969598024577425,0.0
1.0,0.0,-1.0,-0.9,-0.86603,0.86603,-0.77942,0.77942,0.25882,-0.96593,-1.1102230246251565e-16,-5.551115123125783e-17,0.0,-5.551115123125783e-17,0.0,0.184212693020116,0.380382074632473,0.0,0.0,0.09905415205716406,0.06896588744288132,0.26738519284736567,0.0
1.0,0.0,-1.0,-0.8,-0.86603,0.86603,-0.69282,0.69282,0.25882,-0.96593,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.19256432680977592,0.4039552376175133,0.0,0.0,0.09791585688584137,0.06778956053069594,0.23777501815617344,0.0
1.0,0.0,-1.0,-0.7,-0.86603,0.86603,-0.60622,0.60622,0.25882,-0.96593,0.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.2008143054440793,0.42739568613292905,0.0,0.0,0.09690988769030104,0.06674998075617358,0.2081301399765169,0.0
1.0,0.0,-1.0,-0.6,-0.86603,0.86603,-0.51962,0.51962,0.25882,-0.96593,0.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.20896106101636666,0.4506994883982611,0.0,0.0,0.0960368374868522,0.06584776094897504,0.17845485214954496,0.0
1.0,0.0,-1.0,-0.5,-0.86603,0.86603,-0.43301,0.43301,0.25882,-0.96593,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.21700400844083578,0.4738654590139024,0.0,0.0,0.09529714404938815,0.06508335350951909,0.14875003498635467,0.0
1.0,0.0,-1.0,-0.4,-0.86603,0.86603,-0.34641,0.34641,0.25882,-0.96593,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.22493984411708556,0.49688447875687747,0.0,0.0,0.09469141548098883,0.06445738685830359,0.11902687478674445,0.0
1.0,0.0,-1.0,-0.3,-0.86603,0.86603,-0.25981,0.25981,0.25882,-0.96593,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,0.0,0.0,0.23276811909454342,0.5197555462246336,0.0,0.0,0.09421991716123829,0.0639701352415474,0.08928628227803735,0.0
1.0,0.0,-1.0,-0.2,-0.86603,0.86603,-0.17321,0.17321,0.25882,-0.96593,0.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.24048751321956605,0.5424750645269729,0.0,0.0,0.09388292839099938,0.06362188729187397,0.05953260657058766,0.0
1.0,0.0,-1.0,-0.1,-0.86603,0.86603,-0.0866,0.0866,0.25882,-0.96593,0.0,0.0,-2.7755575615628914e-17,0.0,5.551115123125783e-17,0.248097643030706,0.5650421230297227,0.0,0.0,0.09368063335019407,0.06341283334286671,0.029766767246510614,0.0
1.0,0.0,-1.0,-0.0,-0.86603,0.86603,-0.0,0.0,0.25882,-0.96593,0.0,0.0,-5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,0.2555955606318547,0.5874480950112843,0.0,0.0,0.09361319871613913,0.06334314564072176,0.0,-0.0
1.0,0.0,-1.0,0.1,-0.86603,0.86603,0.0866,-0.0866,0.25882,-0.96593,0.0,-1.1102230246251565e-16,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.24809764303070597,0.5650421230297223,0.0,0.0,0.09368063335019426,0.06341283334286685,0.0,0.02976676724651059
1.0,0.0,-1.0,0.2,-0.86603,0.86603,0.17321,-0.17321,0.25882,-0.96593,-1.1102230246251565e-16,-3.3306690738754696e-16,-5.551115123125783e-17,0.0,1.1102230246251565e-16,0.2404875132195665,0.5424750645269732,0.0,0.0,0.09388292839099927,0.06362188729187375,0.0,0.059532606570587454
1.0,0.0,-1.0,0.3,-0.86603,0.86603,0.25981,-0.25981,0.25882,-0.96593,0.0,-2.220446049250313e-16,-2.7755575615628914e-17,0.0,1.6653345369377348e-16,0.23276811909454376,0.5197555462246339,0.0,0.0,0.09421991716123813,0.0639701352415472,0.0,0.08928628227803703
1.0,0.0,-1.0,0.4,-0.86603,0.86603,0.34641,-0.34641,0.25882,-0.96593,-1.1102230246251565e-16,-1.1102230246251565e-16,-8.326672684688674e-17,2.7755575615628914e-17,-5.551115123125783e-17,0.22493984411708565,0.4968844787568777,0.0,0.0,0.09469141548098876,0.0644573868583035,0.0,0.11902687478674479
1.0,0.0,-1.0,0.5,-0.86603,0.86603,0.43301,-0.43301,0.25882,-0.96593,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,5.551115123125783e-17,0.21700400844083587,0.47386545901390265,0.0,0.0,0.09529714404938801,0.06508335350951895,0.0,0.14875003498635464
1.0,0.0,-1.0,0.6,-0.86603,0.86603,0.51962,-0.51962,0.25882,-0.96593,2.220446049250313e-16,1.1102230246251565e-16,-2.7755575615628914e-17,0.0,5.551115123125783e-17,0.2089610610163665,0.45069948839826124,0.0,0.0,0.09603683748685213,0.06584776094897504,0.0,0.17845485214954485
1.0,0.0,-1.0,0.7,-0.86603,0.86603,0.60622,-0.60622,0.25882,-0.96593,2.220446049250313e-16,1.6653345369377348e-16,-1.3877787807814457e-16,0.0,0.0,0.20081430544407924,0.4273956861329294,0.0,0.0,0.09690988769030082,0.06674998075617346,0.0,0.20813013997651716
1.0,0.0,-1.0,0.8,-0.86603,0.86603,0.69282,-0.69282,0.25882,-0.96593,0.0,-1.1102230246251565e-16,-2.7755575615628914e-17,0.0,0.0,0.19256432680977606,0.40395523761751334,0.0,0.0,0.09791585688584127,0.06778956053069582,0.0,0.23777501815617363
1.0,0.0,-1.0,0.9,-0.86603,0.86603,0.77942,-0.77942,0.25882,-0.96593,-2.220446049250313e-16,-2.220446049250313e-16,-2.7755575615628914e-17,-2.7755575615628914e-17,5.551115123125783e-17,0.18421269302011617,0.380382074632473,0.0,0.0,0.09905415205716403,0.06896588744288122,0.0,0.2673851928473658
1.0,0.0,-0.9,-1.0,-0.7981,0.8481,-0.89103,0.84103,0.24412,-0.96975,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.1710479761814825,0.35748974593616367,0.0,0.0,0.10061230973026092,0.07219207286910909,0.29865789528298387,0.0
1.0,0.0,-0.9,-0.9,-0.7981,0.8481,-0.80442,0.75442,0.24412,-0.96975,0.0,0.0,-2.7755575615628914e-17,-5.551115123125783e-17,0.0,0.17954232959452066,0.3813312540952706,0.0,0.0,0.09933534025697696,0.07087473379422994,0.2689163422590018,0.0
1.0,0.0,-0.9,-0.8,-0.7981,0.8481,-0.71782,0.66782,0.24412,-0.96975,0.0,0.0,0.0,0.0,0.0,0.18793591160172876,0.40504078423868783,0.0,0.0,0.09819087594910572,0.06969408885000415,0.23913833936047355,0.0
1.0,0.0,-0.9,-0.7,-0.7981,0.8481,-0.63122,0.58122,0.24412,-0.96975,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.19622805252933412,0.42861700117798873,0.0,0.0,0.09717944098376083,0.06865067878467083,0.20932482652424542,0.0
1.0,0.0,-0.9,-0.6,-0.7981,0.8481,-0.54462,0.49462,0.24412,-0.96975,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.20441715558236648,0.45205588757370746,0.0,0.0,0.09630163671587208,0.06774512396415365,0.17948019616390043,0.0
1.0,0.0,-0.9,-0.5,-0.7981,0.8481,-0.45801,0.40801,0.24412,-0.96975,0.0,-5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,0.2125026120212245,0.4753561887633199,0.0,0.0,0.09555790776119642,0.06697788306011411,0.149605408394145,0.0
1.0,0.0,-0.9,-0.4,-0.7981,0.8481,-0.37141,0.32141,0.24412,-0.96975,-1.1102230246251565e-16,-5.551115123125783e-17,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.2204810802169671,0.49850867071916793,0.0,0.0,0.09494886933202236,0.06634959073391564,0.11971178899792684,0.0
1.0,0.0,-0.9,-0.3,-0.7981,0.8481,-0.28481,0.23481,0.24412,-0.96975,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.22835208830973033,0.5215122648778808,0.0,0.0,0.09447479137356027,0.0658605254647084,0.08980032997412002,0.0
1.0,0.0,-0.9,-0.2,-0.7981,0.8481,-0.19821,0.14821,0.24412,-0.96975,0.0,0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.2361142887769234,0.544363292802764,0.0,0.0,0.09413595714473075,0.06551097946624707,0.05987548180933481,0.0
1.0,0.0,-0.9,-0.1,-0.7981,0.8481,-0.1116,0.0616,0.24412,-0.96975,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,0.2437672762159187,0.5670607785834528,0.0,0.0,0.09393255357386734,0.06530114557634271,0.02993824605041826,0.0
1.0,0.0,-0.9,-0.0,-0.7981,0.8481,-0.025,-0.025,0.24412,-0.96975,1.1102230246251565e-16,5.551115123125783e-17,-2.7755575615628914e-17,0.0,5.551115123125783e-17,0.2513080664543282,0.5895959864858282,0.0,0.0,0.09386474929730831,0.06523119776253522,0.0,-0.0
