j1, j4, j2, j3, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
1.00000, 0.00000, -0.80000, 0.30000, -0.66081, 0.91081, -0.12500, -0.12500, -0.31988, -0.94746
1.00000, 0.00000, -0.80000, 0.40000, -0.64373, 0.94373, -0.15000, -0.15000, -0.34934, -0.93700
1.00000, 0.00000, -0.80000, 0.50000, -0.62967, 0.97967, -0.17500, -0.17500, -0.37777, -0.92590
1.00000, 0.00000, -0.80000, 0.60000, -0.61854, 1.01854, -0.20000, -0.20000, -0.40501, -0.91431
1.00000, 0.00000, -0.80000, 0.70000, -0.61016, 1.06016, -0.22500, -0.22500, -0.43092, -0.90239
1.00000, 0.00000, -0.80000, 0.80000, -0.60440, 1.10440, -0.25000, -0.25000, -0.45541, -0.89028
1.00000, 0.00000, -0.80000, 0.90000, -0.60107, 1.15107, -0.27500, -0.27500, -0.47844, -0.87812
1.00000, 0.00000, -0.70000, -1.00000, -1.10908, 0.75908, 0.17500, 0.17500, -0.06971, 0.99757
1.00000, 0.00000, -0.70000, -0.90000, -1.05416, 0.75416, 0.15000, 0.15000, -0.04795, 0.99885
1.00000, 0.00000, -0.70000, -0.80000, -1.00107, 0.75107, 0.12500, 0.12500, -0.02472, 0.99969
1.00000, 0.00000, -0.70000, -0.70000, -0.95000, 0.75000, 0.10000, 0.10000, -0.00000, 1.00000
1.00000, 0.00000, -0.70000, -0.60000, -0.90114, 0.75114, 0.07500, 0.07500, 0.02622, 0.99966
1.00000, 0.00000, -0.70000, -0.50000, -0.85467, 0.75467, 0.05000, 0.05000, 0.05389, 0.99855
1.00000, 0.00000, -0.70000, -0.40000, -0.81081, 0.76081, 0.02500, 0.02500, 0.08294, 0.99655
1.00000, 0.00000, -0.70000, -0.30000, -0.76974, 0.76974, 0.00000, 0.00000, 0.11324, 0.99357
1.00000, 0.00000, -0.70000, -0.20000, -0.73164, 0.78164, -0.02500, -0.02500, -0.14459, -0.98949
1.00000, 0.00000, -0.70000, -0.10000, -0.69666, 0.79666, -0.05000, -0.05000, -0.17676, -0.98425
1.00000, 0.00000, -0.70000, -0.00000, -0.66493, 0.81493, -0.07500, -0.07500, -0.20947, -0.97782
1.00000, 0.00000, -0.70000, 0.10000, -0.63655, 0.83655, -0.10000, -0.10000, -0.24239, -0.97018
1.00000, 0.00000, -0.70000, 0.20000, -0.61155, 0.86155, -0.12500, -0.12500, -0.27518, -0.96139
1.00000, 0.00000, -0.70000, 0.30000, -0.58993, 0.88993, -0.15000, -0.15000, -0.30750, -0.95155
1.00000, 0.00000, -0.70000, 0.40000, -0.57166, 0.92166, -0.17500, -0.17500, -0.33905, -0.94077
1.00000, 0.00000, -0.70000, 0.50000, -0.55664, 0.95664, -0.20000, -0.20000, -0.36953, -0.92922
1.00000, 0.00000, -0.70000, 0.60000, -0.54474, 0.99474, -0.22500, -0.22500, -0.39872, -0.91707
1.00000, 0.00000, -0.70000, 0.70000, -0.53581, 1.03581, -0.25000, -0.25000, -0.42645, -0.90451
1.00000, 0.00000, -0.70000, 0.80000, -0.52967, 1.07967, -0.27500, -0.27500, -0.45260, -0.89171
1.00000, 0.00000, -0.70000, 0.90000, -0.52614, 1.12614, -0.30000, -0.30000, -0.47712, -0.87884
1.00000, 0.00000, -0.60000, -1.00000, -1.06652, 0.76652, 0.15000, 0.15000, -0.09492, 0.99548
1.00000, 0.00000, -0.60000, -0.90000, -1.00959, 0.75959, 0.12500, 0.12500, -0.07363, 0.99729
1.00000, 0.00000, -0.60000, -0.80000, -0.95440, 0.75440, 0.10000, 0.10000, -0.05075, 0.99871
1.00000, 0.00000, -0.60000, -0.70000, -0.90114, 0.75114, 0.07500, 0.07500, -0.02622, 0.99966
1.00000, 0.00000, -0.60000, -0.60000, -0.85000, 0.75000, 0.05000, 0.05000, -0.00000, 1.00000
1.00000, 0.00000, -0.60000, -0.50000, -0.80121, 0.75121, 0.02500, 0.02500, 0.02790, 0.99961
1.00000, 0.00000, -0.60000, -0.40000, -0.75498, 0.75498, 0.00000, 0.00000, 0.05745, 0.99835
1.00000, 0.00000, -0.60000, -0.30000, -0.71155, 0.76155, -0.02500, -0.02500, -0.08853, -0.99607
1.00000, 0.00000, -0.60000, -0.20000, -0.67111, 0.77111, -0.05000, -0.05000, -0.12098, -0.99265
