j1,j4,j2,j3,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
-1.0,0.0,-1.0,-1.0,-0.75,0.25,-0.45711,0.95711,-0.70711,-0.70711,0.04318864343882722,0.28796913894297455,-2.7755575615628914e-17,0.06690841152944876,0.0,0.0,0.20467849318576142,0.4679756633742459,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.9,-0.725,0.225,-0.45755,0.95755,-0.6945,-0.71949,0.04351556164932391,0.28660412642618566,-2.7755575615628914e-17,0.06696696841360167,2.7755575615628914e-17,0.0,0.20470870619361628,0.4693260192655843,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.8,-0.7,0.2,-0.45887,0.95887,-0.68171,-0.73162,0.04386113949318293,0.28523849910378196,0.0,0.06710775073622974,0.0,0.0,0.20470051688880253,0.47063622198396815,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.7,-0.675,0.175,-0.46107,0.96107,-0.66878,-0.74346,0.04422687050023377,0.2838723057015048,0.0,0.0673308084864255,0.0,0.0,0.20465179403078,0.4719039251795594,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.6,-0.65,0.15,-0.46414,0.96414,-0.65573,-0.75499,0.044614254141879695,0.2825056211848768,0.0,0.0676352382445832,-1.942890293094024e-16,0.0,0.20456017395196457,0.47312655841724216,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.5,-0.625,0.125,-0.46807,0.96807,-0.64262,-0.76618,0.045022550107236325,0.2811385089530214,2.7755575615628914e-17,0.06802012691575346,-5.551115123125783e-17,0.0,0.20443002054276402,0.47430868878380716,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.4,-0.6,0.1,-0.47284,0.97284,-0.62948,-0.77702,0.045451711661277816,0.2797710598728208,2.7755575615628914e-17,0.06848360724686878,1.3877787807814457e-16,0.0,0.20426308108966956,0.4754521282673815,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.3,-0.575,0.075,-0.47844,0.97844,-0.61634,-0.78748,0.045904237989050745,0.2784033166824169,2.7755575615628914e-17,0.06902474694056579,1.6653345369377348e-16,0.0,0.2040535761929069,0.47655064755767157,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.2,-0.55,0.05,-0.48485,0.98485,-0.60326,-0.79755,0.046378382222889813,0.27703535147704533,0.0,0.06964165977477133,8.326672684688674e-17,0.0,0.20380909579273393,0.47761224888027454,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.1,-0.525,0.025,-0.49204,0.99204,-0.59025,-0.80722,0.046875749453417104,0.27566726732063634,-2.7755575615628914e-17,0.07033150545416056,1.6653345369377348e-16,0.0,0.20352437491602687,0.4786313056511265,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,-0.0,-0.5,0.0,-0.5,1.0,-0.57735,-0.8165,0.047395237294573955,0.27429908337468206,0.0,0.0710933244944241,-5.551115123125783e-17,0.0,0.20320683028262174,0.47961558619381167,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.1,-0.475,-0.025,-0.5087,1.0087,-0.5646,-0.82537,0.04793753691964314,0.27293089065142856,0.0,0.07192425924829787,-8.326672684688674e-17,0.0,0.20285418332730837,0.48056262544984385,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.2,-0.45,-0.05,-0.51811,1.01811,-0.55201,-0.83384,0.04850261912082876,0.27156277640511634,0.0,0.0728214439407073,8.326672684688674e-17,0.0,0.20246671830363283,0.481472678540418,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.3,-0.425,-0.075,-0.52822,1.02822,-0.53962,-0.84191,0.04909074173761585,0.2701947455684889,0.0,0.0737838949671627,0.0,0.0,0.20204716725005756,0.4823485205759999,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.4,-0.4,-0.1,-0.53899,1.03899,-0.52744,-0.84959,0.049701228130101416,0.2688269194721179,-5.551115123125783e-17,0.07480778684715136,-1.3877787807814457e-16,0.0,0.20159603577165283,0.4831906750909027,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.5,-0.375,-0.125,-0.55039,1.05039,-0.5155,-0.85689,0.05033272187942611,0.2674593795878026,0.0,0.07589023245249926,-5.551115123125783e-17,0.0,0.20111772334554043,0.48400376475992435,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.6,-0.35,-0.15,-0.5624,1.0624,-0.5038,-0.86382,0.05098627850499465,0.26609216676331526,0.0,0.07702928330036454,8.326672684688674e-17,0.0,0.20060988926824622,0.4847852099940737,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.7,-0.325,-0.175,-0.575,1.075,-0.49237,-0.87039,0.051661087504943026,0.2647253214258748,0.0,0.07822298500855779,-8.326672684688674e-17,0.0,0.20007648820864646,0.4855391186288034,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.8,-0.3,-0.2,-0.58815,1.08815,-0.4812,-0.87661,0.05235737857236056,0.2633589679103478,0.0,0.07946748892916647,-2.7755575615628914e-17,0.0,0.19951442323801155,0.48626219257386905,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-1.0,0.9,-0.275,-0.225,-0.60184,1.10184,-0.47031,-0.8825,0.05307414922446235,0.26199310805582465,5.551115123125783e-17,0.08076177516986341,-5.551115123125783e-17,0.0,0.19892899348303864,0.4869599282169562,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-1.0,-0.75,0.25,-0.3864,0.8864,-0.70711,-0.70711,0.038880198831522716,0.2882281477457267,-2.7755575615628914e-17,0.060233712768750836,0.0,0.0,0.20778033716821961,0.471496684732247,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.9,-0.725,0.225,-0.38689,0.88689,-0.69309,-0.72085,0.039207047490633085,0.2868619687410903,-2.7755575615628914e-17,0.060295340677344295,1.1102230246251565e-16,0.0,0.2078094648507911,0.47284712696234943,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.8,-0.7,0.2,-0.38836,0.88836,-0.67885,-0.73428,0.039555071778362594,0.28549516014904824,0.0,0.06044879655823043,1.1102230246251565e-16,0.0,0.20779614305685912,0.47415310494591534,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.7,-0.675,0.175,-0.3908,0.8908,-0.66444,-0.74734,0.03992630166286648,0.28412780090260653,0.0,0.060693191500996446,-1.942890293094024e-16,0.0,0.20773468847098853,0.47540852485375823,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.6,-0.65,0.15,-0.3942,0.8942,-0.64991,-0.76001,0.04032058263629579,0.28275995513666785,0.0,0.06102762580591983,2.220446049250313e-16,0.0,0.2076297677279836,0.4766182764701884,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.5,-0.625,0.125,-0.39856,0.89856,-0.63532,-0.77225,0.040739611113365326,0.2813916384450902,-2.7755575615628914e-17,0.06145213440357519,-1.3877787807814457e-16,0.0,0.2074804244067728,0.477781230373014,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.4,-0.6,0.1,-0.40383,0.90383,-0.62072,-0.78403,0.04118253606835265,0.28002302632796894,-2.7755575615628914e-17,0.061962015232212064,8.326672684688674e-17,0.0,0.2072865625292154,0.4788973169792776,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.3,-0.575,0.075,-0.41002,0.91002,-0.60616,-0.79534,0.04165112418752437,0.2786540751136604,-2.7755575615628914e-17,0.06255822706934377,-5.551115123125783e-17,0.0,0.2070505154714737,0.4799688472384348,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.2,-0.55,0.05,-0.41708,0.91708,-0.59169,-0.80617,0.042143662022607664,0.2772849391690107,-2.7755575615628914e-17,0.06323604599631541,-1.3877787807814457e-16,0.0,0.20677614101540992,0.4809999341306717,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.1,-0.525,0.025,-0.425,0.925,-0.57735,-0.8165,0.04266273193419867,0.2759156250498166,0.0,0.063994519667989,-5.551115123125783e-17,0.0,0.20645869849819387,0.48198541724696575,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,-0.0,-0.5,0.0,-0.43374,0.93374,-0.56319,-0.82633,0.04320698369290277,0.2745462373298949,2.7755575615628914e-17,0.06482984933228605,5.551115123125783e-17,0.0,0.20610297731379915,0.4829303536952983,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.1,-0.475,-0.025,-0.44327,0.94327,-0.54924,-0.83566,0.043777074353958945,0.2731768404273172,0.0,0.06573917244922717,-2.498001805406602e-16,0.0,0.2057079749622019,0.48383360905525064,0.0,0.0,0.0,0.0,-0.0,0.0
-1.0,0.0,-0.9,0.2,-0.45,-0.05,-0.45356,0.95356,-0.53554,-0.84451,0.0443712604670074,0.27180749482989985,0.0,0.06671961773410567,8.326672684688674e-17,0.0,0.2052815205077736,0.4847034284341336,0.0,0.0,0.0,0.0,-0.0,0.0
