j1,j4,j2,j3,e1,e2,Eigenvalue3,Eigenvalue4,First Eigenvector Comp 3,First Eigenvector Comp 4,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12,density_fin_13
1.0,0.0,-1.0,-1.0,0.25,0.25,-1.11603,0.61603,-0.88807,-0.4597,0.4869503211235529,4.7214010096992447e-60,4.7214010096992447e-60,1.0,5.992250598664792e-76,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.9,0.275,0.225,-1.10184,0.60184,-0.8825,-0.47031,0.49598403192368984,1.6017640924278777e-60,2.3772286909429286e-58,1.0,1.023570373612272e-74,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.8,0.3,0.2,-1.08815,0.58815,-0.87661,-0.4812,0.5050974233013061,5.1690590635173435e-61,1.138561026539004e-56,1.0,1.5820346765858977e-73,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.7,0.325,0.175,-1.075,0.575,-0.87039,-0.49237,0.5142513945323283,1.580420060273613e-61,5.166420632837861e-55,1.0,2.1948785080143146e-72,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.6,0.35,0.15,-1.0624,0.5624,-0.86382,-0.5038,0.5234485901153324,4.573486231574691e-62,2.2188963412459204e-53,1.0,2.727925970166466e-71,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.5,0.375,0.125,-1.05039,0.55039,-0.85689,-0.5155,0.5326361464615991,1.247667446928527e-62,8.983816892262182e-52,1.0,3.0130610121655195e-70,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.4,0.4,0.1,-1.03899,0.53899,-0.84959,-0.52744,0.5417923372762772,3.202272963083308e-63,3.42210086230928e-50,1.0,2.945773457035379e-69,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.3,0.425,0.075,-1.02822,0.52822,-0.84191,-0.53962,0.5508702129626133,7.7171563799796e-64,1.2239513832254064e-48,1.0,2.5390406773213077e-68,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.2,0.45,0.05,-1.01811,0.51811,-0.83384,-0.55201,0.5598471163156894,1.7409761325036197e-64,4.0980013150624756e-47,1.0,1.9178432178483976e-67,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.1,0.475,0.025,-1.0087,0.5087,-0.82537,-0.5646,0.5686833016190797,3.662079094050885e-65,1.2793206370552309e-45,1.0,1.2593757196752248e-66,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,-0.0,0.5,0.0,-1.0,0.5,-0.8165,-0.57735,0.5773429868062513,7.17509597316441e-66,3.7200759760208356e-44,1.0,7.17509597316441e-66,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,0.1,0.525,-0.025,-0.99204,0.49204,-0.80722,-0.59025,0.5857891026439234,1.3055392027300196e-66,1.004584382023221e-42,1.0,3.5255309344098686e-65,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.0,0.0,-1.0,0.2,0.55,-0.05,-0.98485,0.48485,-0.79755,-0.60326,0.5939506869803736,2.1994365866774814e-67,2.5117728354166686e-41,1.0,1.48504630207776e-64,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
