j1,j2,j3,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
-1.0,0.0,-1.0,-1.0,-0.75,-0.75,0.75,0.75,-0.0,1.0,0.0,-1.1102230246251565e-16,0.46073008849557523,8.334804200982315e-19,3.0696474008495844e-18,0.4853487831858407,0.00010785398230087023,0.0538132743362832,0.0,0.0,0.0,0.0,-0.0
-1.0,0.0,-1.0,-0.9,-0.775,-0.675,0.725,0.725,-0.86603,-0.5,0.39062401816759634,0.9993758459884623,0.0,-2.5992657459242397e-21,-7.784093439606003e-25,0.0005617745445840094,0.0,6.225463615126508e-05,0.0,1.2483080230751003e-07,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.8,-0.8,-0.6,0.7,0.7,-0.86603,-0.5,0.390867936198509,0.9999999187078761,0.0,-9.009216352363884e-09,-9.009216352363882e-09,7.22702529133123e-08,0.0,0.0,0.0,2.7040303795351487e-08,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.7,-0.825,-0.525,0.675,0.675,-0.86603,-0.5,0.3908679799832978,0.9999999999963093,0.0,-4.090177904553605e-13,-4.0901779045536047e-13,3.281064412943865e-12,0.0,0.0,0.0,1.2276278955954249e-12,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.6,-0.85,-0.45,0.65,0.65,-0.86603,-0.5,0.3908679799852858,1.0,4.248354255291589e-18,7.17509597316441e-66,7.17509597316441e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.5,-0.875,-0.375,0.625,0.625,-0.86603,-0.5,0.3908679799852858,1.0,1.9287498479639178e-22,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.4,-0.9,-0.3,0.6,0.6,-0.86603,-0.5,0.3908679799852858,1.0,8.75651076269652e-27,7.17509597316441e-66,7.17509597316441e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.3,-0.925,-0.225,0.575,0.575,-0.86603,-0.5,0.3908679799852858,1.0,3.975449735908647e-31,7.175095973164461e-66,7.175095973164461e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.2,-0.95,-0.15,0.55,0.55,-0.86603,-0.5,0.3908679799852858,1.0,1.804851387845415e-35,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.1,-0.975,-0.075,0.525,0.525,-0.86603,-0.5,0.3908679799852858,1.0,8.194012623990515e-40,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,-1.0,-0.0,0.5,0.5,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,7.17509597316441e-66,7.17509597316441e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.1,-1.025,0.075,0.475,0.475,-0.86603,-0.5,0.3908679799852858,1.0,1.6889118802245564e-48,7.175095973164512e-66,7.175095973164512e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.2,-1.05,0.15,0.45,0.45,-0.86603,-0.5,0.3908679799852858,1.0,7.667648073722e-53,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.3,-1.075,0.225,0.425,0.425,-0.86603,-0.5,0.3908679799852858,1.0,3.4811068399043105e-57,7.17509597316441e-66,7.17509597316441e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.4,-1.1,0.3,0.4,0.4,-0.86603,-0.5,0.3908679799852858,1.0,1.580420060273613e-61,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.5,-1.125,0.375,0.375,0.375,-0.86603,-0.5,0.3908679799852858,1.0,7.175095973164411e-66,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.6,-1.15,0.45,0.35,0.35,-0.86603,-0.5,0.3908679799852858,1.0,3.2574885322075675e-70,7.175095973164512e-66,7.175095973164512e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.7,-1.175,0.525,0.325,0.325,-0.86603,-0.5,0.3908679799852858,1.0,1.4788975056432135e-74,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.8,-1.2,0.6,0.3,0.3,-0.86603,-0.5,0.3908679799852858,1.0,6.714184288211594e-79,7.175095973164411e-66,7.175095973164411e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.9,-1.225,0.675,0.275,0.275,-0.86603,-0.5,0.3908679799852858,1.0,3.0482349509718567e-83,7.17509597316441e-66,7.17509597316441e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-1.0,-0.775,-0.675,0.725,0.725,-0.86603,0.5,0.39062401816759634,0.9993758459884623,0.0,-2.5992657459242397e-21,-7.784093439606003e-25,0.0005617745445840094,0.0,6.225463615126508e-05,0.0,1.2483080230751003e-07,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.9,-0.75,-0.65,0.7,0.7,-1.0,0.0,-1.6940658945086007e-20,0.9993765785635933,0.0,-1.2546675531204324e-20,-1.435985543392056e-21,0.000561044509046884,0.0,6.221068164341032e-05,0.0,0.0,0.0,8.312285818757783e-08,8.312285818754831e-08
-1.0,0.0,-0.9,-0.8,-0.7616,-0.5884,0.675,0.675,-0.96593,-0.25882,0.20895286574218672,0.9999995866900486,0.0,1.9163895100955537e-23,2.0886673613642465e-23,3.720027515939054e-07,0.0,4.122453779905078e-08,0.0,8.266199027657969e-11,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.7,-0.78229,-0.51771,0.65,0.65,-0.937,-0.34934,0.2793730786757357,0.9999999998725397,0.0,-1.4125806511438578e-11,-1.4125806511438577e-11,1.1331458467176417e-10,0.0,0.0,0.0,4.2397261258292587e-11,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.6,-0.80528,-0.44472,0.625,0.625,-0.92016,-0.39155,0.3114231923724384,0.9999999999999998,2.1931996125865717e-16,7.651187454666784e-63,7.651187454666784e-63,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.5,-0.82913,-0.37087,0.6,0.6,-0.90958,-0.41554,0.32937797946319797,1.0,1.2532019797881429e-20,8.58366397127427e-63,8.58366397127427e-63,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.4,-0.85339,-0.29661,0.575,0.575,-0.90239,-0.43092,0.3407816515352056,1.0,6.59708130595589e-25,9.242947780360893e-63,9.242947780360893e-63,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.3,-0.87787,-0.22213,0.55,0.55,-0.89722,-0.44159,0.348641653130168,1.0,3.323331344390974e-29,9.736296981149768e-63,9.736296981149768e-63,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.2,-0.90249,-0.14751,0.525,0.525,-0.89332,-0.44942,0.3543820163562005,1.0,1.6279280459814612e-33,1.0113395766901005e-62,1.0113395766901005e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.1,-0.9272,-0.0728,0.5,0.5,-0.89028,-0.45541,0.35875734996392467,1.0,7.832122403725071e-38,1.0410978336108536e-62,1.0410978336108536e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.0,-0.95197,0.00197,0.475,0.475,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.0653205775290786e-62,1.0653205775290786e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.1,-0.97678,0.07678,0.45,0.45,-0.88586,-0.46395,0.36497074955051517,1.0,1.755781887640108e-46,1.0857551825121415e-62,1.0857551825121415e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.2,-1.00163,0.15163,0.425,0.425,-0.8842,-0.46711,0.36726242982233726,1.0,8.21399775890871e-51,1.1021642707423e-62,1.1021642707423e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.3,-1.0265,0.2265,0.4,0.4,-0.8828,-0.46975,0.3691738878727509,1.0,3.827378540512297e-55,1.1165859440336895e-62,1.1165859440336895e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.4,-1.05139,0.30139,0.375,0.375,-0.88159,-0.47201,0.37080794769991643,1.0,1.7762785733772528e-59,1.1289361912463166e-62,1.1289361912463166e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.5,-1.07629,0.37629,0.35,0.35,-0.88055,-0.47395,0.3722089611551545,1.0,8.227201756750106e-64,1.140282188595712e-62,1.140282188595712e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.6,-1.10121,0.45121,0.325,0.325,-0.87964,-0.47564,0.3734281644977633,1.0,3.795386778585323e-68,1.149441032633508e-62,1.149441032633508e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.7,-1.12614,0.52614,0.3,0.3,-0.87884,-0.47712,0.3744948961697482,1.0,1.7473960276216384e-72,1.157515346992113e-62,1.157515346992113e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.8,-1.15107,0.60107,0.275,0.275,-0.87812,-0.47844,0.37544553620541027,1.0,8.045011102889414e-77,1.1656463798343047e-62,1.1656463798343047e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.9,-1.17601,0.67601,0.25,0.25,-0.87748,-0.47961,0.3762875406656248,1.0,3.696522572756094e-81,1.172661281774438e-62,1.172661281774438e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-1.0,-0.8,-0.6,0.7,0.7,-0.86603,0.5,0.390867936198509,0.9999999187078761,0.0,-9.009216352363884e-09,-9.009216352363882e-09,7.22702529133123e-08,0.0,0.0,0.0,2.7040303795351487e-08,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.9,-0.7616,-0.5884,0.675,0.675,-0.96593,0.25882,0.20895286574218672,0.9999995866900486,0.0,1.9163895100955537e-23,2.0886673613642465e-23,3.720027515939054e-07,0.0,4.122453779905078e-08,0.0,8.266199027657969e-11,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.8,-0.75,-0.55,0.65,0.65,-1.0,0.0,-1.201228846981851e-08,0.999999918707876,0.0,-9.009216352363884e-09,-9.009216352363882e-09,7.22702529133123e-08,0.0,0.0,0.0,2.7040303795351487e-08,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.7,-0.75729,-0.49271,0.625,0.625,-0.98613,-0.16597,0.1348903573581955,0.9999999998725396,0.0,-1.4125806511438478e-11,-1.4125806511438475e-11,1.1331458467176336e-10,0.0,0.0,0.0,4.239726125829228e-11,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.6,-0.77321,-0.42679,0.6,0.6,-0.96593,-0.25882,0.20895295210452158,0.9999999999999991,9.019252758501896e-16,2.302753497319265e-60,2.302753497319265e-60,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.5,-0.79294,-0.35706,0.575,0.575,-0.94946,-0.31388,0.25203864071323834,1.0,1.1748221411291658e-19,3.90050323584257e-60,3.90050323584257e-60,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.4,-0.81458,-0.28542,0.55,0.55,-0.937,-0.34934,0.2793730787301791,1.0,1.0444152285285382e-23,5.458126394315774e-60,5.458126394315774e-60,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.3,-0.83725,-0.21275,0.525,0.525,-0.92752,-0.37378,0.2979989430290937,1.0,7.556307189334136e-28,6.890237672011448e-60,6.890237672011448e-60,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.2,-0.86056,-0.13944,0.5,0.5,-0.92016,-0.39155,0.31142319237243826,1.0,4.8101245406498137e-32,8.158869189401455e-60,8.158869189401455e-60,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.1,-0.88427,-0.06573,0.475,0.475,-0.91431,-0.40501,0.32152153630013075,1.0,2.8265682626434212e-36,9.282264901142148e-60,9.282264901142148e-60,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.0,-0.90826,0.00826,0.45,0.45,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.0268752842794023e-59,1.0268752842794023e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.1,-0.93244,0.08244,0.425,0.425,-0.90567,-0.42399,0.3356539881806514,1.0,8.400818862525675e-45,1.1146277432914397e-59,1.1146277432914397e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.2,-0.95678,0.15678,0.4,0.4,-0.90239,-0.43092,0.3407816515352056,1.0,4.352148175739281e-49,1.1906751350783571e-59,1.1906751350783571e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.3,-0.98122,0.23122,0.375,0.375,-0.89961,-0.4367,0.34504478038092,1.0,2.2100384834070773e-53,1.2592552649416442e-59,1.2592552649416442e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.4,-1.00574,0.30574,0.35,0.35,-0.89722,-0.44159,0.348641653130168,1.0,1.1044531224611562e-57,1.3211736715395982e-59,1.3211736715395982e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.5,-1.03034,0.38034,0.325,0.325,-0.89514,-0.44579,0.35172371307212336,1.0,5.431828217750206e-62,1.3750917919177378e-59,1.3750917919177378e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.6,-1.05498,0.45498,0.3,0.3,-0.89332,-0.44942,0.3543820163562005,1.0,2.650149722892991e-66,1.4254969455532056e-59,1.4254969455532056e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.7,-1.07967,0.52967,0.275,0.275,-0.89171,-0.4526,0.35670656627837904,1.0,1.2801234384657535e-70,1.4703794351726768e-59,1.4703794351726768e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.8,-1.1044,0.6044,0.25,0.25,-0.89028,-0.45541,0.35875734996392467,1.0,6.134214134693184e-75,1.5106204895419538e-59,1.5106204895419538e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.9,-1.12916,0.67916,0.225,0.225,-0.889,-0.4579,0.36057198710591665,1.0,2.9218656881006043e-79,1.5473139414450155e-59,1.5473139414450155e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.7,-1.0,-0.825,-0.525,0.675,0.675,-0.86603,0.5,0.3908679799832978,0.9999999999963093,0.0,-4.090177904553605e-13,-4.0901779045536047e-13,3.281064412943865e-12,0.0,0.0,0.0,1.2276278955954249e-12,0.0,0.0,0.0
-1.0,0.0,-0.7,-0.9,-0.78229,-0.51771,0.65,0.65,-0.937,0.34934,0.2793730786757357,0.9999999998725397,0.0,-1.4125806511438578e-11,-1.4125806511438577e-11,1.1331458467176417e-10,0.0,0.0,0.0,4.2397261258292587e-11,0.0,0.0,0.0
-1.0,0.0,-0.7,-0.8,-0.75729,-0.49271,0.625,0.625,-0.98613,0.16597,0.1348903573581955,0.9999999998725396,0.0,-1.4125806511438478e-11,-1.4125806511438475e-11,1.1331458467176336e-10,0.0,0.0,0.0,4.239726125829228e-11,0.0,0.0,0.0
-1.0,0.0,-0.7,-0.7,-0.75,-0.45,0.6,0.6,-1.0,0.0,-5.453570539404806e-13,0.9999999999963093,0.0,-4.0901779045536047e-13,-4.090177904553604e-13,3.2810644129438647e-12,0.0,0.0,0.0,1.2276278955954247e-12,0.0,0.0,0.0
-1.0,0.0,-0.7,-0.6,-0.75528,-0.39472,0.575,0.575,-0.99265,-0.12098,0.09853850235510941,0.9999999999999998,2.1931996125865715e-16,1.6852861875987334e-58,1.6852861875987334e-58,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
