j1,j3,j2,j4,Eigenvalue1,Eigenvalue2,e3,e4,First Eigenvector Comp 1,First Eigenvector Comp 2,concur_fin,density_fin_1,density_fin_2,density_fin_3,density_fin_4,density_fin_5,density_fin_6,density_fin_7,density_fin_8,density_fin_9,density_fin_10,density_fin_11,density_fin_12
-1.0,0.0,-1.0,-1.0,-1.0,-0.0,-0.36603,1.36603,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,2.9311141415308046e-28,1.7563970469342676e-103,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.9,-1.0,-0.0,-0.27942,1.27942,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,5.077012387104139e-32,1.014021599688969e-99,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.8,-1.0,-0.0,-0.19282,1.19282,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,8.802742738785633e-36,5.848404724732694e-96,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.7,-1.0,-0.0,-0.10622,1.10622,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,1.5262574486142134e-39,3.3730876970241116e-92,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.6,-1.0,-0.0,-0.01962,1.01962,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,2.6462908988428814e-43,1.945440021224867e-88,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.5,-1.0,-0.0,0.06699,0.93301,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,4.583667173837724e-47,1.1231618761057696e-84,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.4,-1.0,-0.0,0.15359,0.84641,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,7.94735956012203e-51,6.477875052041824e-81,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.3,-1.0,-0.0,0.24019,0.75981,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,1.3779474290447096e-54,3.736136890201352e-77,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.2,-1.0,-0.0,0.32679,0.67321,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,2.3891445993438353e-58,2.1548299018091817e-73,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.1,-1.0,-0.0,0.4134,0.5866,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,4.138261473201049e-62,1.2440490422732493e-69,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,-0.0,-1.0,-0.0,0.5,0.5,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,7.17509597316441e-66,7.17509597316441e-66,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.1,-1.0,-0.0,0.5866,0.4134,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,1.2440490422732493e-69,4.138261473201049e-62,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.2,-1.0,-0.0,0.67321,0.32679,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,2.1548299018091817e-73,2.3891445993438353e-58,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.3,-1.0,-0.0,0.75981,0.24019,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,3.736136890201352e-77,1.3779474290447096e-54,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.4,-1.0,-0.0,0.84641,0.15359,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,6.477875052041824e-81,7.94735956012203e-51,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.5,-1.0,-0.0,0.93301,0.06699,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,1.1231618761057696e-84,4.583667173837724e-47,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.6,-1.0,-0.0,1.01962,-0.01962,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,1.945440021224867e-88,2.6462908988428814e-43,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.7,-1.0,-0.0,1.10622,-0.10622,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,3.3730876970241116e-92,1.5262574486142134e-39,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.8,-1.0,-0.0,1.19282,-0.19282,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,5.848404724732694e-96,8.802742738785633e-36,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.9,-1.0,-0.0,1.27942,-0.27942,-0.86603,-0.5,0.3908679799852858,1.0,3.7200759760208356e-44,1.014021599688969e-99,5.077012387104139e-32,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-1.0,-0.95197,0.00197,-0.39103,1.34103,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,4.351964380320486e-25,2.6078061163343835e-100,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.9,-0.95197,0.00197,-0.30442,1.25442,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,7.538081425782949e-29,1.5055660304027606e-96,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.8,-0.95197,0.00197,-0.21782,1.16782,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.3069850233915656e-32,8.683404267034706e-93,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.7,-0.95197,0.00197,-0.13122,1.08122,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,2.266106924140086e-36,5.008183509864832e-89,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.6,-0.95197,0.00197,-0.04462,0.99462,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,3.929073784112637e-40,2.88848719893209e-85,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.5,-0.95197,0.00197,0.04199,0.90801,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,6.805588356026284e-44,1.6676117824580698e-81,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.4,-0.95197,0.00197,0.12859,0.82141,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.1799822201801852e-47,9.618008758925176e-78,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.3,-0.95197,0.00197,0.21519,0.73481,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,2.0459039940440145e-51,5.547219890135675e-74,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.2,-0.95197,0.00197,0.30179,0.64821,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,3.547276459984352e-55,3.1993782996882626e-70,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.1,-0.95197,0.00197,0.3884,0.5616,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,6.14427335757649e-59,1.8470986996492223e-66,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,-0.0,-0.95197,0.00197,0.475,0.475,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.0653205775290786e-62,1.0653205775290786e-62,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.1,-0.95197,0.00197,0.5616,0.3884,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.8470986996492223e-66,6.14427335757649e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.2,-0.95197,0.00197,0.64821,0.30179,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,3.1993782996882626e-70,3.547276459984352e-55,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.3,-0.95197,0.00197,0.73481,0.21519,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,5.547219890135675e-74,2.0459039940440145e-51,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.4,-0.95197,0.00197,0.82141,0.12859,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,9.618008758925176e-78,1.1799822201801852e-47,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.5,-0.95197,0.00197,0.90801,0.04199,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.6676117824580698e-81,6.805588356026284e-44,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.6,-0.95197,0.00197,0.99462,-0.04462,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,2.88848719893209e-85,3.929073784112637e-40,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.7,-0.95197,0.00197,1.08122,-0.13122,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,5.008183509864832e-89,2.266106924140086e-36,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.8,-0.95197,0.00197,1.16782,-0.21782,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,8.683404267034706e-93,1.3069850233915656e-32,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.9,0.9,-0.95197,0.00197,1.25442,-0.30442,-0.88785,-0.46013,0.3621950531963919,1.0,3.723164228351409e-42,1.5055660304027606e-96,7.538081425782949e-29,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-1.0,-0.90826,0.00826,-0.41603,1.31603,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,4.1949106724106705e-22,2.513695598809799e-97,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.9,-0.90826,0.00826,-0.32942,1.22942,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,7.266047113232318e-26,1.4512331574943863e-93,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.8,-0.90826,0.00826,-0.24282,1.14282,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.2598185426560029e-29,8.370037539222298e-90,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.7,-0.90826,0.00826,-0.15622,1.05622,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,2.1843276484259553e-33,4.827448163391514e-86,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.6,-0.90826,0.00826,-0.06962,0.96962,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,3.787281353724984e-37,2.784247461379577e-82,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.5,-0.90826,0.00826,0.01699,0.88301,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,6.559988256297738e-41,1.6074310018033924e-78,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.4,-0.90826,0.00826,0.10359,0.79641,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.1373990171133196e-44,9.27091402048271e-75,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.3,-0.90826,0.00826,0.19019,0.70981,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.9720714025492172e-48,5.3470317966216704e-71,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.2,-0.90826,0.00826,0.27679,0.62321,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,3.419262332952201e-52,3.0839191228520464e-67,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.1,-0.90826,0.00826,0.3634,0.5366,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,5.922538796148939e-56,1.7804405944112505e-63,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,-0.0,-0.90826,0.00826,0.45,0.45,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.0268752842794023e-59,1.0268752842794023e-59,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.1,-0.90826,0.00826,0.5366,0.3634,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.7804405944112505e-63,5.922538796148939e-56,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.2,-0.90826,0.00826,0.62321,0.27679,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,3.0839191228520464e-67,3.419262332952201e-52,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.3,-0.90826,0.00826,0.70981,0.19019,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,5.3470317966216704e-71,1.9720714025492172e-48,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.4,-0.90826,0.00826,0.79641,0.10359,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,9.27091402048271e-75,1.1373990171133196e-44,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.5,-0.90826,0.00826,0.88301,0.01699,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,1.6074310018033924e-78,6.559988256297738e-41,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.6,-0.90826,0.00826,0.96962,-0.06962,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,2.784247461379577e-82,3.787281353724984e-37,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
-1.0,0.0,-0.8,0.7,-0.90826,0.00826,1.05622,-0.15622,-0.90958,-0.41554,0.32937797946319797,1.0,1.5705152021449329e-40,4.827448163391514e-86,2.1843276484259553e-33,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
